head, tail
가시001, 돋치다001
가시002, 물고기001
가시002, 잔뼈001
가시003, 살004
가시003, 박히다001
가시003, 나무001
가시003, 거스러미001
가시004, 남004
가시004, 공격002
가시004, 불평불만001
가시004, 뜻001
가시004, 담다001
가시004, 표현001
가시004, 비유006
가시004, 이르다001
가시004, 말001
가시005, 식물002
가시005, 줄기001
가시005, 잎002
가시005, 열매001
가시005, 싸다005
가시005, 겉면001
가시005, 바늘001
가시005, 하다001
가시005, 돋아나다001
가시005, 식물002
가시005, 몸001
가시005, 보호001
가시005, 위하다001
가시005, 잎002
가시005, 하다001
가시005, 변태001
가엾다001, 마음001
가요002, 대중002
가요002, 즐기다001
가요002, 부르다001
가요002, 노래001
가요003, 민요002
가요003, 동요001
가요003, 유행가001
가요003, 노래001
가요003, 이르다001
가요003, 말001
가요004, 악가002
가요004, 속요001
가요004, 이르다001
가요004, 말001
가요005, 조선005
가요005, 시대002
가요005, 길001
가요005, 임금003
가요005, 환영002
가요005, 때001
가요005, 행하다001
가요005, 춤001
가요005, 노래001
가운데001, 일정003
가운데001, 공간005
가운데001, 길이001
가운데001, 갖다001
가운데001, 사물010
가운데001, 한쪽001
가운데001, 치우치다001
가운데001, 끝001
가운데001, 거리001
가운데001, 떨어지다001
가운데001, 부분001
가운데002, 양쪽001
가운데002, 사이001
가운데003, 여럿001
가운데003, 이루어지다001
가운데003, 일정003
가운데003, 범위001
가운데003, 안001
가운데004, 순서001
가운데004, 처음001
가운데004, 마지막001
가운데004, 중간001
가운데005, 일001
가운데005, 상태001
가운데005, 이루어지다001
가운데005, 범위001
가운데005, 안001
가위001, 옷감001
가위001, 종이001
가위001, 머리털001
가위001, 자르다001
가위001, 기구015
가위001, 날001
가위001, 쇠001
가위001, 교차001
가위001, 가운데001
가위001, 사북001
가위001, 박다001
가위001, 지레001
가위001, 원리002
가위001, 이용001
가위001, 다리002
가위001, 하다001
가위001, 자르다001
가위002, 가위바위보001
가위002, 집게손가락001
가위002, 가운뎃손가락001
가위002, 엄지손가락001
가위002, 벌리다001
가위002, 내미다001
가위002, 동작003
가위002, 손001
가위바위보001, 손001
가위바위보001, 내밀다001
가위바위보001, 모양002
가위바위보001, 따르다001
가위바위보001, 순서001
가위바위보001, 승부003
가위바위보001, 정하다003
가위바위보001, 방법001
가위바위보001, 손가락001
가위바위보001, 가위001
가위바위보001, 주먹001
가위바위보001, 쥐다001
가위바위보001, 바위001
가위바위보001, 손가락001
가위바위보001, 보다002
가위바위보001, 하다001
가위바위보001, 가위001
가위바위보001, 보004
가위바위보001, 바위001
가위바위보001, 가위001
가위바위보001, 보다002
가위바위보001, 바위001
가위바위보001, 이기다001
가을001, 해001
가을001, 철001
가을001, 가운데001
가을001, 철001
가을001, 여름001
가을001, 겨울001
가을001, 사이001
가을001, 달005
가을001, 월002
가을001, 절기007
가을001, 입추001
가을001, 입동001
가을001, 전008
가을001, 이른다001
가을날001, 가을철001
가을날001, 날001
가을날001, 그날001
가을날001, 날씨001
가을철001, 계절001
가을철001, 가을001
가을철001, 때001
가자미001, 넙칫과001
가자미001, 붕001
가자미001, 넙칫과001
가자미001, 넙치가자미001
가자미001, 동백가자미001
가자미001, 참가자미001
가자미001, 목탁가자미001
가자미001, 줄가자미001
가자미001, 이르다001
가자미001, 말001
가자미001, 몸001
가자미001, 타원001
가자미001, 눈001
가자미001, 오른쪽001
가자미001, 몰리다001
가자미001, 붙다001
가자미001, 넙치001
가자미001, 몸001
가장008, 가정006
가장008, 이끌다001
가장008, 사람001
가장009, 남편001
가장009, 이르다001
가장009, 말001
가장자리001, 둘레001
가장자리001, 끝001
가장자리001, 해당005
가장자리001, 부분001
가정적001, 가정006
가정적001, 관계005
가정적001, 가정006
가족001, 부부003
가족001, 중심001
가족001, 친족002
가족001, 관계005
가족001, 있다001
가족001, 사람001
가족001, 집단001
가족001, 구성원001
가족001, 혼인001
가족001, 혈연002
가족001, 입양001
가족001, 이루어지다001
가죽001, 동물001
가죽001, 몸001
가죽001, 감싸다001
가죽001, 껍질001
가죽002, 동물001
가죽002, 몸001
가죽002, 벗기다002
가죽002, 껍질001
가죽002, 가공001
가죽002, 만들다001
가죽002, 물건001
가죽003, 사람001
가죽003, 피부002
가죽003, 낮잡다001
가죽003, 이르다001
가죽003, 말001
가지001, 나무001
가지001, 풀002
가지001, 원줄기001
가지001, 뻗다001
가지001, 나오다001
가지001, 줄기001
가지002, 근본001
가지002, 갈라지다001
가지002, 나오다001
가지003, 단독002
가지003, 쓰이다001
가지003, 어근001
가지003, 단어001
가지003, 붙다001
가지003, 단어001
가지003, 구성007
가지003, 부분001
가지003, 앞가지002
가지003, 뒷가지001
가지005, 가짓과001
가지005, 한해살이풀001
가지005, 높이002
가지005, 이다003
가지005, 온몸001
가지005, 털001
가지005, 잎002
가지005, 어긋나다001
가지005, 줄기001
가지005, 잎002
가지005, 자주색001
가지005, 월002
가지005, 흰색001
가지005, 자주색001
가지005, 통꽃001
가지005, 피다001
가지005, 열매001
가지005, 식용001
가지005, 원산지001
가지005, 세계002
가지005, 각지003
가지005, 여007
가지005, 종이001
가지005, 분포002
가지006, 가지004
가지006, 열매001
가지006, 자줏빛001
가지006, 원통003
가지006, 모양002
가지006, 익히다001
가지006, 반찬001
가지006, 쓴다002
가짜001, 거짓001
가짜001, 참001
가짜001, 꾸미다001
가축002, 집001
가축002, 기르다001
가축002, 짐승001
가축002, 말001
가축002, 돼지001
가축002, 닭001
가축002, 개010
가축002, 이른다001
가치008, 사물010
가치008, 지니다001
가치008, 쓸모001
가치009, 대상011
가치009, 인간001
가치009, 관계005
가치009, 의하다001
가치009, 지니다001
가치009, 되다001
가치009, 중요002
가치010, 인간001
가치010, 욕구001
가치010, 관심001
가치010, 대상011
가치010, 목표001
가치010, 되다001
가치010, 미014
가치010, 이르다001
가치010, 말001
가톨릭001, 가톨릭교회001
가톨릭001, 가톨릭교도001
가톨릭001, 이르다001
가톨릭001, 말001
가톨릭002, 그리스도001
가톨릭002, 정통002
가톨릭002, 교의004
가톨릭002, 믿다001
가톨릭002, 종교001
가톨릭002, 교황002
가톨릭002, 수장003
가톨릭002, 하다001
가톨릭002, 로마002
가톨릭002, 가톨릭교001
가톨릭002, 교황002
가톨릭002, 승인002
가톨릭002, 그리스001
가톨릭002, 정교회001
가톨릭002, 나누다001
가톨릭003, 가톨릭교001
가톨릭003, 그리스001
가톨릭003, 정교회001
가톨릭003, 구별002
가톨릭003, 이르다001
가톨릭003, 말001
각각001, 사람001
각각001, 물건001
각각001, 하나하나001
각국001, 나라001
각국001, 나라001
각자002, 각각001
각자002, 자신001
각자003, 각각001
각자003, 사람001
간001, 음식물001
간001, 짠맛001
간001, 내다002
간001, 물질002
간001, 소금001
간001, 간장001
간001, 된장001
간001, 이른다001
간002, 음식물001
간002, 정도011
간014, 가로막001
간014, 밑001
간014, 오른쪽001
간014, 있다001
간014, 기관011
간014, 탄수화물001
간014, 저장001
간014, 단백질001
간014, 당007
간014, 대사017
간014, 조절002
간014, 해독004
간014, 작용001
간014, 한다001
간식002, 끼니001
간식002, 끼니001
간식002, 사이001
간식002, 음식001
간식002, 먹다002
간식002, 음식001
간장001, 음식001
간장001, 간010
간장001, 맞추다001
간장001, 쓰다002
간장001, 짠맛001
간장001, 흑갈색001
간장001, 액체001
간장001, 메주001
간장001, 소금물001
간장001, 정도011
간장001, 담그다001
간장001, 우려내다001
간장001, 뒤001
간장001, 국물001
간장001, 떠내다001
간장001, 솥001
간장001, 붓다002
간장001, 달이다001
간장001, 만든다001
간접적001, 연결001
간접적001, 중간001
간접적001, 통하다001
간접적001, 이어지다001
간지럼001, 느낌001
간지럽다001, 살004
간지럽다001, 닿다001
간지럽다001, 스치다001
간지럽다001, 때001
간지럽다001, 견디다001
간지럽다001, 자리001
간지럽다001, 자리001
간지럽다001, 느낌001
간지럽다001, 있다001
간첩001, 국가001
간첩001, 단체002
간첩001, 비밀001
간첩001, 상황002
간첩001, 알아내다001
간첩001, 경쟁001
간첩001, 대립003
간첩001, 관계005
간첩001, 있다001
간첩001, 국가001
간첩001, 단체002
간첩001, 제공004
간첩001, 사람001
간추리다002, 글001
간추리다002, 점010
간추리다002, 고르다003
간추리다002, 정리009
간판002, 기관011
간판002, 상점001
간판002, 영업소001
간판002, 이름001
간판002, 판매001
간판002, 상품003
간판002, 업종001
간판002, 쓰다002
간판002, 사람001
간판002, 눈001
간판002, 뜨이다002
간판002, 걸다002
간판002, 붙이다001
간판002, 표지003
간판004, 겉001
간판004, 내세우다001
간판004, 외모002
간판004, 학벌001
간판004, 경력002
간판004, 명분001
간판004, 속001
간판004, 이르다001
간판004, 말001
간호사001, 의사012
간호사001, 진료001
간호사001, 돕다001
간호사001, 환자003
간호사001, 돌보다001
간호사001, 사람001
간호사001, 법001
간호사001, 자격004
간호사001, 정하다003
갈다001, 있다001
갈다001, 사물010
갈다001, 바꾸다001
갈다002, 직책001
갈다002, 있다001
갈다002, 사람001
갈다002, 사람001
갈다002, 바꾸다001
갈다003, 날001
갈다003, 세우다001
갈다003, 표면001
갈다003, 하다001
갈다003, 위하다001
갈다003, 물건001
갈다003, 대다001
갈다003, 문지르다001
갈등001, 칡001
갈등001, 등나무001
갈등001, 얽히다001
갈등001, 개인002
갈등001, 집단001
갈등001, 사이001
갈등001, 목표001
갈등001, 이해관계001
갈등001, 적대시001
갈등001, 충돌001
갈등001, 상태001
갈등002, 소설003
갈등002, 희곡001
갈등002, 등장인물001
갈등002, 사이001
갈등002, 일어나다001
