"tempVector"
"경계004"
"바깥쪽001"
"부분001"
"중심001"
"되다001"
"곳001"
"부분001"
"그릇001"
"아가리001"
"주변004"
"주변004"
"뜻001"
"나타내다001"
"말001"
"서양001"
"음악001"
"칠음001"
"체계003"
"음이름001"
"계이름001"
"라와001"
"NA001"
"회의004"
"안건001"
"대하다002"
"표결002"
"하다001"
"때001"
"찬성001"
"의사012"
"표시001"
"성적004"
"등급001"
"수026"
"우008"
"미014"
"가의004"
"단계003"
"나누다001"
"때001"
"단계003"
"행위001"
"허용001"
"가능001"
"이르다001"
"말001"
"소리001"
"내다002"
"웃음001"
"소리001"
"내다002"
"웃다001"
"집001"
"집001"
"하다001"
"빼다001"
"일001"
"하다001"
"맞추다001"
"일001"
"덧셈001"
"뺄셈001"
"이르다001"
"말001"
"덧셈001"
"뺄셈001"
"곱셈001"
"나눗셈001"
"이르다001"
"말001"
"예전001"
"시조002"
"짓다001"
"창009"
"하다001"
"사람001"
"이르다001"
"말001"
"임시002"
"지다005"
"건물003"
"규모001"
"물건001"
"파다001"
"집001"
"손001"
"주먹001"
"몽둥이001"
"때리다001"
"침001"
"판매001"
"상품003"
"가격003"
"적다001"
"일람표001"
"회의004"
"토의001"
"내놓다001"
"안건001"
"결정001"
"회의004"
"토의001"
"내놓다001"
"안건001"
"결정001"
"내려오다001"
"한집안001"
"계통001"
"집안002"
"살림001"
"수입002"
"지출001"
"상태001"
"집안002"
"살림001"
"꾸리다001"
"방도002"
"형편001"
"생활001"
"하다001"
"위하다001"
"돈001"
"쓰다002"
"가정006"
"집안002"
"혈연002"
"혼인001"
"관계005"
"나타내다001"
"그림001"
"유전학001"
"연구003"
"기초006"
"자료003"
"된다001"
"집안002"
"살림001"
"수입002"
"지출001"
"적다001"
"장부007"
"집안002"
"살림001"
"드다001"
"비용003"
"정식001"
"계약001"
"맺다001"
"전008"
"임시002"
"맺다001"
"계약001"
"나라001"
"전통006"
"성악곡001"
"시조002"
"시010"
"장022"
"형식001"
"피리003"
"관현악001"
"반주001"
"맞추다001"
"부른다001"
"평조001"
"계면조001"
"음계003"
"남창002"
"여창001"
"구분006"
"있다001"
"서양001"
"음악001"
"시010"
"곡002"
"붙이다001"
"성악곡001"
"보통001"
"피아노001"
"반주001"
"맞추다001"
"부르다001"
"독창곡001"
"가곡001"
"모으다001"
"엮다001"
"책001"
"음반001"
"외국002"
"원료002"
"제품002"
"사다001"
"제품002"
"만들다001"
"후008"
"외국002"
"판매001"
"방식001"
"무역002"
"빠지다002"
"양옆001"
"있다001"
"버팀목001"
"삼다002"
"다리002"
"넣다001"
"인공001"
"원자재001"
"반제품001"
"인공001"
"처리002"
"제품002"
"만들다001"
"제품002"
"질008"
"높이다001"
