"PosList"
"규모, 물건, 파다, 집"
"길거리, 임시, 물건, 벌이다, 파다, 곳"
"가게, 벌이다, 장사, 하다, 집"
"가게, 쓰다, 집"
"물건, 지니다, 가치, 돈, 나타내다"
"집안, 살림, 쓰다, 기구, 장롱, 비교, 제품, 이른다"
"지점, 거리, 떨어지다, 상태"
"곳"
"사람, 사람, 사이, 관계, 친밀, 하다"
"하다, 즐기다"
"곳, 곳, 거리"
"서로, 사이, 다정"
"시간, 오다"
"촌수"
"시간, 간격, 얼마"
"살림살이, 상태"
"가난, 사람, 낮잡다, 이르다, 말"
"물체, 지름, 보통, 경우, 미치다"
"소리, 울림, 보통, 미치다"
"사이"
"하다, 있다, 되다, 있다"
"곳, 곳, 장소, 이동"
"수레, 배, 자동차, 비행기, 운행, 다니다"
"물건, 권리, 옮기다"
"관심, 눈길, 쏠리다"
"말, 소식, 알리다, 전하다"
"사람, 죽다"
"분량, 수효, 범위, 한도, 차다"
"비다, 사람, 물건"
"냄새, 빛, 공간, 퍼지다, 상태"
"감정, 정서, 생각"
"목소리, 높낮이, 길이, 통하다, 느끼다, 말, 기운"
"음악, 통일, 이루다, 음, 연속, 노랫가락, 세다, 단위"
"소리, 높낮이, 길, 리듬, 어울리다, 나타나다, 음, 흐름, 한자, 빌리다, 적다, 한다"
"나무, 떨어지다, 마르다, 잎"
"피부, 긁다, 느낌, 있다"
"가정, 말"
"왼쪽, 오른쪽, NA, 방향, 길이"
"왼쪽, 오른쪽, 방향, 옆"
"거리, 미관, 국민, 보건, 위하다, 길, 따르다, 줄지다, 심다, 나무"
"물건, 보다, 정도, 부수다, 갈다, 만들다"
"가루, 되다, 약"
"우유, 속, 수분, 증발, 농축, 가루, 만들다"
"솥"
"움직임, 드러나다"
"움직이다, 말"
"마음, 가다듬다"
""
"오랫동안, 계속, 비, 내리다, 날씨"
"물건, 넣다, 들다, 메다, 다니다, 있다, 만들다, 용구, 가죽, 비닐, 만든다"
"무게, 일반, 기준, 되다, 대상"
"비중, 가치, 책임, 적다"
"죄과, 실수"
"몸, 손발, 움직임, 재다"
"소리, 색깔"
"세금, 잘못, 대하다, 대가, 치르다, 형량, 벌금"
"마음"
"가곡, 가요, 오페라, 불리다, 전제, 하다, 쓰이다, 글"
"노래, 부르다, 직업인, 사람"
"기체, 물질, 이르다, 말"
"연료, 사용, 기체"
"살상, 무기, 사용, 기체"
"소화, 기관, 내용물, 부패, 생기다, 기체"
"배, 목, 사이, 앞부분"
"목과, 가로막, 사이, 부분, 심장, 허파, 있다"
"등뼈, 갈비뼈, 가슴뼈, 가로막, 이루어지다, 원통, 모양, 부분, 심장, 허파, 식도, 보호, 흉근, 운동, 호흡, 운동, 돕다"
"마음, 생각"
"윗옷, 가슴, 부분"
"여자, 젖, 이르다, 말"
"절지동물, 가슴, 부분, 마디"
"마음, 속"
"바늘, 하다, 돋치다"
"물고기, 잔뼈"
"살, 박히다, 나무, 거스러미"
"남, 공격, 불평불만, 뜻, 담다, 표현, 비유, 이르다, 말"
"식물, 줄기, 잎, 열매, 싸다, 겉면, 바늘, 하다, 돋아나다, 식물, 몸, 보호, 위하다, 잎, 하다, 변태"
"마음"
"대중, 즐기다, 부르다, 노래"
"민요, 동요, 유행가, 노래, 이르다, 말"
"악가, 속요, 이르다, 말"
"조선, 시대, 길, 임금, 환영, 때, 행하다, 춤, 노래"
