key,subnodes
"가란침못004",1
"가람조009",1
"가랑눈001",1
"가랑눈003",1
"가랑비001",7
"가랑비003",1
"가랑이001",2
"가랑이002",2
"가랑이003",1
"가랑잎001",1
"가랑잎003",1
"가랒006",1
"가래001",4
"가래002",2
"가래003",1
"가래004",1
"가래006",2
"가래008",6
"가래꾼002",1
"가래나무001",2
"가래나무002",1
"가래나뭇과001",4
"가래떡001",1
"가래소리006",1
"가래엿001",1
"가래질001",1
"가래질꾼002",1
"가래침001",1
"가래침002",1
"가래톳001",1
"가래톳006",1
"가랫과001",2
"가랭이002",1
"가량001",2
"가량002",2
"가량국001",1
"가량통002",1
"가려002",1
"가려움증002",1
"가렴004",1
"가렴주구001",1
"가렴주구006",1
"가례001",1
"가례002",1
"가례003",1
"가례004",1
"가례006",1
"가로001",1
"가로002",1
"가로005",1
"가로006",1
"가로결001",1
"가로글씨006",1
"가로금006",1
"가로닫이004",1
"가로대001",1
"가로대002",1
"가로대006",1
"가로대018",1
"가로돛002",1
"가로둑004",1
"가로등001",1
"가로등002",1
"가로뜨기001",1
"가로띠001",1
"가로띠002",1
"가로막001",1
"가로막002",1
"가로막살001",1
"가로무늬001",1
"가로무늬002",1
"가로무늬근001",1
"가로선002",1
"가로세로002",1
"가로수001",1
"가로수002",1
"가로쓰기001",1
"가로외004",1
"가로장001",1
"가로장002",1
"가로재001",3
"가로재003",3
"가로재004",1
"가로줄001",238
"가로줄002",1
"가로줄003",1
"가로줄눈004",1
"가로지001",1
"가로지003",1
"가로짜기002",1
"가로축001",1
"가로축018",1
"가로코001",1
"가로톱001",1
"가로파001",1
"가로피리006",1
"가로획001",1
"가록001",1
"가뢰001",1
"가뢰010",1
"가룃과001",2
"가료001",1
"가루001",72113
"가루002",30
"가루003",6
"가루004",4
"가루005",5
"가루006",22
"가루007",3
"가루008",2
"가루009",3
"가루011",4
"가루012",2
"가루016",2
"가루내기001",1
"가루눈001",1
"가루다001",1
"가루다003",1
"가루모래001",1
"가루받이001",2
"가루받이004",1
"가루분001",1
"가루붙이001",1
"가루붙이002",2
"가루비누001",1
"가루사탕001",1
"가루약001",3
"가루우유001",1
"가루음식001",1
"가루젖001",1
"가루차001",1
"가르마001",3
"가르보슬라우치001",1
"가르새001",1
"가르치심001",1
"가르침001",72283
"가르침002",14
"가르침003",4
"가르침004",6
"가르침006",22
"가르침007",2
"가르침009",2
"가르침014",8
"가름001",72113
"가름002",4
"가름003",3
"가름004",2
"가름005",3
"가름008",2
"가름대001",1
"가름도움줄기001",1
"가름둑004",1
"가름솔001",1
"가름씨끝001",1
"가름옷001",1
"가릉001",1
"가릉빈가008",1
"가리001",1
"가리002",1
"가리016",1
"가리개001",5
"가리개002",2
"가리개004",2
"가리마001",1
"가리맛010",1
"가리비010",1
"가리사니001",1
"가리산001",1
"가리촌001",1
"가리킴대이름씨001",1
"가림법001",1
"가림빛003",1
"가림색003",1
"가림성001",1
"가마001",52
"가마002",13
"가마003",3
"가마004",24
"가마005",1
"가마006",21
"가마012",2
"가마꾼001",2
"가마꾼009",2
"가마놀이001",1
