"head","tail"
"수녀001","수도사001"
"수녀원001","수사원001"
"수사015","수녀001"
"수사원001","수녀원001"
"유혈제001","무혈제001"
"질료죄001","형성죄001"
"형성죄001","질료죄001"
"내벽001","밭벽001"
"내벽001","외벽001"
"동살대001","장살001"
"동와001","앙와001"
"동와001","판023"
"동와001","빈와001"
"모와001","판023"
"모와001","빈와001"
"모와001","앙와001"
"바깥벽001","안벽001"
"부막사001","암막새001"
"부와002","빈와001"
"부와002","암키와001"
"수막새001","암막새001"
"아랫미닫이틀001","윗미닫이틀001"
"안벽001","외벽001"
"안벽001","밭벽001"
"암키와001","수키와001"
"앙와001","수키와001"
"여와001","수키와001"
"장살001","동살002"
"장살001","동전004"
"장살대001","동살대001"
"장살대001","동살002"
"장전006","동전004"
"전실004","뒷방001"
"지상층001","지하층001"
"구와002","조선기와001"
"맹장지001","맹장자001"
"바닥기와001","앙와001"
"바닥기와001","암키와001"
"빈와001","평기와002"
"암키와001","평기와002"
"중대석001","간석003"
"평기와002","여와001"
"평기와002","앙와001"
"맞벽질하다001","맞벽치기하다001"
"맞이음하다001","맞댄이음하다001"
"매축하다001","매적하다001"
"새벽질하다001","새벽하다001"
"앙벽하다001","앙토하다001"
"자풀이하다003","해척하다002"
"재사하다001","재벽하다001"
"치받이하다001","앙토하다001"
"치받이하다001","앙벽하다001"
"ㄱ자관001","기역자관001"
"ㄱ자관001","엘보005"
"ㄱ자관003","기역자관003"
"ㄱ자자001","구018"
"ㄱ자자001","곡척001"
"ㄱ자자001","기역자자001"
"ㄱ자자001","곱자001"
"ㄱ자집001","기역자집001"
"ㄱ자집001","곡자집001"
"ㄱ자턱솔홈001","기역자촉홈001"
"ㄱ자턱솔홈001","ㄱ자홈001"
"ㄱ자턱솔홈001","기역자턱솔홈001"
"ㅁ자집001","미음자집001"
"가수준점001","티비엠003"
"가지방002","가방002"
"가거004","측구001"
"가동언001","가동댐001"
"가란침못001","침징지001"
"가란침못001","침전지001"
"가로둑001","횡제001"
"가로외001","누운외001"
"가로줄눈001","수평접합부001"
"가른돌001","가름돌001"
"가름돌002","가른돌002"
"가방002","덧방001"
"가새지름001","가새지르기001"
"가이드004","지지로프001"
"가쿠목001","가쿠자이001"
"각두정001","모대갈못001"
"간주004","샛기둥001"
"간지석001","견칫돌001"
"갈모금001","갈모걸련001"
"감잡이003","등자철001"
"감잡이004","감잡이쇠002"
"감잡이004","등자쇠002"
"감실006","닫집001"
"감실장002","당가001"
"감잡이쇠001","등자쇠001"
"감잡이쇠001","감잡이003"
"감잡이쇠001","등자철001"
"갓돌001","입석005"
"강선법001","추선법001"
"강성법001","평형법002"
"강성법001","변위법001"
"강역005","강성역001"
"개트래버스001","오픈트래버스001"
"개거001","개수로001"
"개구부002","개구004"
"개탕002","문받이개탕001"
"개탕대패001","홈대패001"
"개탕대패001","개탕003"
"개탕붙임001","은촉붙임001"
"개탕붙임001","제혀쪽매001"
"개탕붙임001","은촉이음001"
"개탕쪽매001","제혀쪽매001"
"개판006","개판널001"
"갯솜벽돌001","경량벽돌001"
"갱도002","도갱001"
"갱웨이001","캣워크002"
"거느림채001","첨무001"
"거멀쇠001","거멀쪽001"
"거멀띳장쪽매001","띠열장붙임001"
"거친대패001","초련포001"
"거친대패001","초련대패001"
"거친대패001","막대패001"
"거푸집널001","세키이타001"
"건설재001","건설자재001"
"건성쌓기001","메쌓기001"
"건축값001","건축액001"
"건축재001","건자재001"
"건축지001","건축용지001"
"건평001","건축면적001"
"걸침턱끼움001","걸침턱맞춤001"
"게눈001","해안각001"
"게르버교001","게르버다리001"
"게이블001","박공001"
"게이블001","박풍001"
"게이블지붕001","뱃집지붕001"
"격벽재001","격벽재료001"
"격자보001","래티스보001"
"격자보001","격자빔001"
"견지석001","송곳닛돌001"
"견지석001","견치석001"
"견치석001","간지석001"
"견치석001","견칫돌001"
"겹대패001","덧날대패001"
"겹창001","이중창문001"
"겹창001","복창004"
"경간001","기둥사이001"
"경사자001","경사측각기001"
"경첩001","접철002"
"경첩001","합엽001"
"경첩001","정첩001"
"계단실001","계단통001"
"계량003","연결보001"
"계량004","속량002"
"계량004","퇴량001"
"계화001","기화008"
"고초석001","장초석001"
"고초석001","고주초석001"
"고측창001","고측벽창001"
"고가수조001","고위탱크001"
"고딕001","고딕건축001"
"고딕식001","고딕건축001"
"고딕식001","수직식001"
"고딕식002","고딕002"
"고른돌001","고름돌001"
"고른층쌓음001","고른층쌓기001"
"고모장지001","고미장지001"
"고무막법001","고무풍선법001"
"고미다락001","만장001"
"고미혀001","고미서까래001"
"고산수형001","고산수001"
"고삽001","이방006"
"고정단력001","고정단모멘트001"
"고주017","높은기둥001"
"고주초석001","높은주춧돌001"
"고줏집001","고설각001"
"곡두무늬001","곡두문001"
"곡척001","구018"
"골격도001","구조선도001"
"곱자001","곡척001"
"곱자001","구척002"
"곱자001","구018"
"공담001","빈담001"
"공용벽돌001","공용연와001"
"공포009","포작002"
"과다짐001","오버콤팩션001"
"과소벽돌001","클링커벽돌001"
"관공작용001","파이핑002"
"교005","땅광001"
"교각003","다릿기둥001"
"교각003","다릿발001"
"교니001","모르타르001"
"교대006","갓기둥001"
"교대006","다리받침001"
"교살문001","빗살문001"
"교전창001","빗살창001"
"교체004","다릿몸001"
"교항001","다리말뚝001"
"구란001","교란001"
"구란002","난간005"
"구량각001","구량001"
"구량집001","구량001"
"구량집001","구량각001"
"구름다리001","운교001"
"구척002","구018"
"국화동001","국화동자못001"
"국화동001","국화판003"
"국화못001","국화동자못001"
"국화못001","국화판003"
"국화반자001","구화반자001"
"국화쇠001","괏쇠001"
"귀기둥001","우주006"
"귀서까래001","추녀001"
"귀접기001","면접기001"
"귀면와001","귀면003"
"귀잡이보001","귓보001"
"귀판001","귀면003"
"규준도001","단면상세도001"
"그라우트002","그라우팅001"
