"기초001", 72113
"기초006", 72175
"기품001", 72113
"기품003", 72145
"기피001", 72125
"기한001", 72113
"기호001", 72113
"기회001", 72118
"기회005", 72113
"기후001", 72119
"길001", 72113
"길002", 72113
"길003", 72113
"길005", 72113
"길007", 72113
"길이001", 72113
"깃털001", 72119
"까닭001", 72128
"까닭013", 72114
"깨달음001", 72113
"껍질001", 72113
"껍질002", 72113
"꼭대기001", 72113
"꼴001", 72113
"꼴003", 72113
"꾀001", 72113
"꾀002", 72115
"꾀009", 72114
"꾸밈001", 72113
"끈001", 72113
"끈003", 72113
"끗수001", 72113
"끝001", 72113
"끽착001", 72113
"낌새003", 72114
"나그네013", 72114
"나머지002", 72115
"나무001", 72113
"나무002", 72113
"나무껍질001", 72113
"나무토막001", 72113
"나뭇잎001", 72144
"나뭇조각001", 72284
"낙엽관목001", 72113
"낙엽교목002", 72119
"날001", 72113
"날005", 72113
"남001", 72113
"남자001", 72113
"남자002", 72415
"남편001", 72205
"남편002", 72122
"납리001", 72178
"낭독002", 72135
"낱개001", 72113
"내력001", 72113
"내막002", 72114
"내부구조001", 72114
"내용001", 72113
"내용002", 72121
"내용물001", 72113
"노래007", 72557
"노랫소리001", 72138
"노릇001", 72113
"노정004", 72113
"노정007", 72114
"논술001", 72121
"논의002", 72113
"논제002", 72113
"놀이001", 72338
"놀이002", 72113
"놋그릇001", 72113
"농경지001", 72291
"농사001", 72113
"농사처001", 72291
"농사터001", 72291
"농지001", 72292
"농처001", 72291
"농터001", 72291
"농토001", 72292
"눈001", 72389
"눈006", 72113
"느낌001", 72808
"느낌022", 72155
"능력001", 72327
"능력002", 72826
"능력003", 72144
"단006", 72114
"단계001", 72215
"단계003", 72167
"단위001", 72397
"단위002", 78194
"단위003", 72303
"단위005", 72128
"단위010", 72118
"단위성의존명사002", 72114
"단체002", 72296
"단체003", 72305
"달001", 72113
"달007", 72150
"담001", 72113
"담장001", 72113
"대002", 72113
"대가001", 72113
"대비010", 72183
"대상001", 72113
"대상008", 72113
"대상009", 72113
"대상015", 72237
"대상물001", 72113
"대표001", 72113
"대표002", 72115
"대표004", 72114
"대표021", 72114
"덧문001", 72120
"덧셈003", 72114
"도002", 72119
"도구001", 72113
"도달001", 72113
"도료002", 72116
"도리001", 72113
"도리002", 72113
"도리003", 72113
"도리011", 72113
"도병001", 72113
"도병003", 72113
"도성001", 72113
"도시001", 72177
"도움001", 72113
"도움002", 72117
"도형001", 72163
"도형004", 72113
"독기002", 72116
"돈001", 72113
"돈002", 72113
"돈003", 72113
"동018", 72113
"동강이001", 72113
"동녘001", 72113
"동물001", 72113
"동물계001", 72113
"동방006", 72113
"동안001", 72113
"동안002", 72125
"동안003", 72118
"동일001", 72120
"동일002", 72113
"동일005", 72114
"동작001", 72507
"동작003", 72675
"동작004", 72264
"동쪽001", 72113
"동행001", 72125
"되풀이001", 72113
"됨됨001", 72228
"됨됨이001", 72228
"됨됨이002", 72114
"둘레002", 72113
"뒷면001", 72113
"등급001", 72113
"등급002", 72176
"등급003", 72120
"등급004", 72117
"등급005", 72116
"땅001", 73242
"땅003", 72406
"땅005", 72113
"땅006", 72123
"땅029", 72292
"때001", 72113
"땔감001", 72113
"떡001", 72113
"떡002", 72118
"뜻001", 72141
"뜻003", 72113
"량001", 72398
"마당002", 72118
"마무리001", 72141
"마음001", 72570
"마음002", 72976
"마음004", 72329
"마음006", 72205
"마음008", 72118
"마지막001", 72113
"막001", 72113
"막대기001", 72113
"만남001", 72113
"말001", 72113
"말002", 72113
"말003", 72140
"말004", 72165
"말005", 72156
"말009", 72120
"말011", 72115
"말과002", 72114
"매체001", 72113
"매체002", 72113
"머릿수001", 72145
"머위001", 72203
"머플러001", 72113
"머플러002", 72113
"먹그림001", 72113
"먹물002", 72113
"먹새003", 72113
"먹성002", 72113
"먹을거리001", 72113
"먹이001", 73906
"먹종이001", 72113
"멋008", 72114
"메뚜기002", 72125
"면001", 72113
"면004", 72120
"면006", 72113
"면류002", 72115
"면상004", 72113
"면적003", 72114
"명령001", 72113
"명성004", 72114
"명예001", 72137
"명제001", 72121
"명제002", 72113
"명제003", 72138
"명칭001", 72113
"명칭002", 72113
"명칭005", 72115
"모범005", 72114
"모스부호001", 72115
"모습001", 72113
"모습002", 72113
"모습008", 72114
"모양001", 72113
"모양002", 74170
"모양004", 72113
"모양새001", 72113
"모양새003", 72115
"모양새012", 72114
"모음자001", 72138
"모임001", 72113
"모자001", 72113
"모자009", 72164
"모집001", 72127
"목숨001", 72113
"목재001", 72113
"목적001", 72115
"목적004", 72113
"목표001", 72113
"목표002", 72113
"몰두001", 72113
"몰입001", 72113
"몸가짐001", 72126
"무기001", 72113
"무기물001", 72113
"무늬001", 72226
"무리001", 72843
"무리006", 72113
"문007", 72272
"문대002", 72114
"문법001", 72113
"문법002", 72113
"문법단위002", 72116
"문법범주001", 72133
"문법범주002", 72115
"문법범주004", 72146
"문서001", 72113
"문장부호001", 72113
"문제006", 72113
"문짝002", 72115
"문짝008", 72114
"문체001", 72152
"문체002", 72113
"문필001", 72113
"문하005", 72114
"문학001", 72113
"문화001", 72113
"물001", 72113
"물건001", 72113
"물건002", 72216
"물건003", 72128
"물건004", 72113
"물건006", 72211
"물건007", 72116
"물건015", 72114
"물리량001", 72113
"물음001", 72113
"물질001", 72113
"물질002", 73906
"물질004", 72113
"물질005", 72120
"물질세계001", 73910
"물체001", 72113
"물체002", 72113
"물품001", 72113
"물품002", 72113
"미끼001", 72120
"미술001", 72135
"미술가003", 72114
"미움001", 72113
"민물고기002", 72115
"민족001", 72197
"민주공화국001", 72114
"밑바탕002", 72115
"밑부분001", 72116
"바깥001", 72129
"바깥003", 72130
"바깥주인002", 72131
"바닥001", 72113
"바닥002", 72113
"바라밀012", 72175
"바라밀다001", 72182
"바람002", 72113
"바탕001", 72113
"바탕002", 72170
"바탕003", 72945
"밖001", 72113
"밖002", 72115
"반대004", 72175
"반복001", 72116
"반응003", 72300
"반응004", 79495
"반찬004", 72115
"발생002", 72133
"발송001", 72303
"발전001", 72113
"발표001", 72251
"발흥001", 72113
"방001", 72113
"방003", 72196
"방008", 72113
"방도001", 72113
"방도002", 72113
"방면001", 72113
"방면002", 72125
"방면004", 72115
"방법001", 72935
"방법002", 72184
"방법003", 72134
"방법007", 72119
"방법012", 72114
"방법013", 72119
"방소001", 72113
"방식001", 72113
"방식003", 72266
"방식009", 72118
"방어003", 72115
"방위001", 72113
"방위003", 72113
"방해001", 72113
"방향001", 72113
"방향002", 72113
"방향003", 72120
"방향004", 72121
"방향007", 72115
"밭002", 72128
"밭005", 72131
"배고픔001", 72121
"배치004", 72119
"버릇002", 72117
"번성001", 72113
"번역001", 72361
"범위001", 77856
"범위004", 72116
"범위006", 72308
"범주006", 72137
"법규집001", 72113
"법령001", 72113
"법률서001", 72113
"법률행위001", 72403
"법률행위002", 72114
"법률행위004", 72141
"법서002", 72113
"법식001", 72128
"법인002", 72113
"법전001", 72113
"법칙001", 72113
"법칙003", 72172
"법칙004", 72114
"법회001", 72113
"벼001", 72113
"벼슬001", 72933
"벼슬002", 72254
"벼슬003", 72161
"벼슬아치001", 72306
"벼슬아치004", 72162
"변경001", 72137
"변동001", 72113
"변화001", 72588
"변화002", 72149
"변화004", 72123
"별001", 72113
"별002", 72113
"별004", 72134
"별019", 72132
"별명001", 72113
"별자리001", 72113
"별자리003", 72115
"별칭001", 72113
"볏과001", 72158
"병002", 72113
"병008", 72536
"보고001", 72148
"보고003", 72158
"보관001", 72113
"보람011", 72114
"보살핌001", 72113
"보상002", 72113
"보호002", 72143
"본바탕001", 72944
"본바탕002", 72115
"본바탕004", 72114
"본보기001", 72113
"본보기010", 72114
"본성008", 72114
"본질001", 72113
"본질004", 72114
"부관001", 72115
"부근004", 72145
"부담003", 72114
"부문001", 72407
"부분001", 75352
"부분002", 72302
"부분005", 72118
"부분006", 72122
"부분012", 72116
"부분026", 72114
"부상001", 72115
"부서001", 72113
"부서004", 72114
"부속품001", 72113
"부위007", 72162
"부착001", 72215
"부채001", 72129
"부탁001", 72228
"부품001", 72113
"부호003", 72113
"분량001", 72113
"분량002", 72118
"분리004", 72185
"분리007", 72236
"분별005", 72114
"분비물002", 72114
"분석002", 72129
"분야001", 72168
"분위기001", 72113
"분위기002", 72182
"분할001", 72182
"불교인001", 72220
"불구004", 72113
"불식001", 72114
"브래지어001", 72113
"비004", 72115
"비006", 72115
"비교001", 72190
"비용001", 72170
"비용002", 72113
"비용004", 72113
"비탈001", 72116
"비평001", 72113
"빚001", 72113
"빛깔002", 72119
"사교003", 72164
"사나이004", 72114
"사단법인001", 72113
"사람001", 72113
"사람002", 72808
"사람003", 72113
"사람004", 72221
"사람006", 72113
"사랑001", 72180
"사물001", 72127
"사상001", 72113
"사실001", 72113
